id,fromUser,fromUserId,desired_username,LanguageCode,source,text,createdAt,req_username
130211,aozovno,789590276,Cristy Everest,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,07-Oct-12,cri
130212,tudentslar,635269119,Gilson Klocke,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,28-Oct-12,gil
130213,010ppabaav,636768577,Thorwald Arens,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,23-Oct-12,tho
130214,avyan007ar,793569355,Pacien Kirby,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,10-Oct-12,pac
130215,atgsuspr,795965828,Batish Shoop,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,26-Oct-12,bat
130216,amnesunekk,793614464,Amarion Carthen,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,16-Oct-12,ama
130217,atyrnbaye,808041319,Manon Santangelo,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,05-Oct-12,man
130221,frenkaa5,806602668,Kreiker Addie,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,06-Oct-12,kre
130222,fiudese,810877873,Grube Rollman,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,02-Oct-12,gru
130223,erkadbeni,803810197,Kriss Hedberg,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,17-Oct-12,kri
130224,jfashest,799479733,Oletha Lurz,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,12-Oct-12,ole
130225,ksjepaf,804921547,Joshi Reiley,vietnamese,&lta href=&quothttp//dlvr.it&quot&gtdlvr.it&lt/a&gt,Superstorm Sandy xuo,24-Oct-12,jos
130226,ekoczent,501466384,Ethan Koczent,english,&lta href=&quothttp//twitter.com/download/iphone&quot&gtTwitter for iPhone&lt/a&gt,Ã­Â¢Ã¤â°Ã¥ÃÃ±@GovChristie We now have 2.6 million households without power. #SandyÃ­Â¢Ã¤â°Ã¥ÅÃ¹,31-Oct-12,eth
